country,country_code,year,health_exp,life_expect,maternal_mortality,infant_mortality,neonatal_mortality,under_5_mortality,prev_hiv,inci_tuberc,prev_undernourishment,Income_Status
Brunei Darussalam,BRN,1999,2.5479064,73.863,50.0,8.6,4.9,10.7,,108.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2000,2.5479064,74.08,50.0,8.4,4.9,10.3,,108.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2001,2.5465107,74.276,50.0,8.2,5.0,10.0,,75.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2002,2.53447938,74.426,51.0,8.0,5.0,9.8,,78.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2003,2.60260582,74.561,46.0,7.9,5.0,9.6,,69.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2004,2.55193377,74.65,46.0,7.9,5.0,9.5,,60.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2005,2.23386168,74.731,46.0,7.8,5.0,9.5,,52.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2006,1.9072516,74.783,46.0,7.9,4.9,9.5,,64.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2007,1.94145441,74.818,48.0,7.9,4.9,9.5,,65.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2008,1.87612021,74.84,48.0,8.0,4.8,9.5,,68.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2009,2.39306617,74.846,42.0,8.1,4.8,9.6,,64.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2010,2.27826095,74.849,42.0,8.1,4.8,9.7,,69.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2011,1.86409724,74.858,42.0,8.2,4.8,9.7,,66.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2012,1.85097206,74.827,43.0,8.3,4.8,9.8,,69.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2013,1.898314,74.799,43.0,8.4,4.8,9.9,,59.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2014,1.91436803,74.779,44.0,8.5,4.9,9.9,,55.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2015,2.38708901,74.75,45.0,8.5,5.0,9.9,,58.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2016,2.54828691,74.733,45.0,8.5,5.1,9.9,,65.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2017,2.27022862,74.722,45.0,8.6,5.1,9.9,,63.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2018,2.41289377,74.712,45.0,8.6,5.2,9.9,,66.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2019,2.19410944,74.748,45.0,8.6,5.2,9.9,,63.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2020,2.39334464,74.795,44.0,8.6,5.1,9.8,,81.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2021,2.20486665,74.642,44.0,8.6,5.1,9.8,,60.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2022,2.20486665,74.551,44.0,8.5,5.0,9.7,,57.0,,High/Upper-Mid Income
Brunei Darussalam,BRN,2023,2.20486665,74.551,44.0,8.5,5.0,9.7,,65.0,,High/Upper-Mid Income
Cambodia,KHM,1999,6.53804731,57.69,606.0,83.1,36.9,113.0,1.2,579.0,24.1,Developing/Lower-Mid Income
Cambodia,KHM,2000,6.53804731,58.625,606.0,79.0,35.5,105.9,1.2,579.0,24.1,Developing/Lower-Mid Income
Cambodia,KHM,2001,7.00522089,59.966,574.0,73.4,33.7,96.5,1.2,566.0,24.1,Developing/Lower-Mid Income
Cambodia,KHM,2002,7.22556973,61.226,497.0,67.3,31.8,86.7,1.2,553.0,21.7,Developing/Lower-Mid Income
Cambodia,KHM,2003,6.93705606,62.523,464.0,61.7,30.1,78.0,1.1,539.0,20.0,Developing/Lower-Mid Income
Cambodia,KHM,2004,7.07894278,63.552,447.0,56.9,28.5,70.7,1.1,525.0,19.3,Developing/Lower-Mid Income
Cambodia,KHM,2005,6.84559298,64.293,382.0,52.9,27.2,64.7,1.0,510.0,18.0,Developing/Lower-Mid Income
Cambodia,KHM,2006,6.11889315,65.059,350.0,49.4,25.9,59.8,1.0,495.0,16.5,Developing/Lower-Mid Income
Cambodia,KHM,2007,4.90875959,65.731,327.0,46.3,24.8,55.5,1.0,481.0,15.0,Developing/Lower-Mid Income
Cambodia,KHM,2008,6.60109425,66.47,309.0,43.2,23.6,51.4,0.9,466.0,13.5,Developing/Lower-Mid Income
Cambodia,KHM,2009,7.58330584,67.444,277.0,40.2,22.5,47.4,0.9,452.0,12.3,Developing/Lower-Mid Income
Cambodia,KHM,2010,6.91169977,67.712,276.0,37.3,21.3,43.8,0.9,438.0,10.7,Developing/Lower-Mid Income
Cambodia,KHM,2011,7.50353098,68.416,252.0,34.6,20.2,40.5,0.9,425.0,9.7,Developing/Lower-Mid Income
Cambodia,KHM,2012,7.26115417,68.915,246.0,32.2,19.2,37.6,0.8,412.0,8.9,Developing/Lower-Mid Income
Cambodia,KHM,2013,7.10386753,69.304,229.0,30.2,18.1,35.2,0.8,398.0,8.7,Developing/Lower-Mid Income
