,Titles,Votes,Ratings,votes
0,The Shawshank Redemption,3.2M,9.3,3200000.0
1,The Godfather,2.2M,9.2,2200000.0
2,The Dark Knight,3.1M,9.1,3100000.0
3,The Godfather: Part II,1.5M,9.0,1500000.0
4,12 Angry Men,975K,9.0,975000.0
5,The Lord of the Rings: The Return of the King,2.1M,9.0,2100000.0
6,Schindler's List,1.6M,9.0,1600000.0
7,The Lord of the Rings: The Fellowship of the Ring,2.2M,8.9,2200000.0
8,Pulp Fiction,2.4M,8.8,2400000.0
9,"The Good, the Bad and the Ugly",886K,8.8,886000.0
10,The Lord of the Rings: The Two Towers,1.9M,8.8,1900000.0
11,Forrest Gump,2.5M,8.8,2500000.0
12,Fight Club,2.6M,8.8,2600000.0
13,Inception,2.8M,8.8,2800000.0
14,Star Wars: Episode V - The Empire Strikes Back,1.5M,8.7,1500000.0
15,The Matrix,2.2M,8.7,2200000.0
16,GoodFellas,1.4M,8.7,1400000.0
17,Interstellar,2.5M,8.7,2500000.0
18,One Flew Over the Cuckoo's Nest,1.2M,8.6,1200000.0
19,Se7en,2M,8.6,2000000.0
20,It's a Wonderful Life,552K,8.6,552000.0
21,The Silence of the Lambs,1.7M,8.6,1700000.0
22,Shichinin no samurai,400K,8.6,400000.0
23,Saving Private Ryan,1.6M,8.6,1600000.0
24,The Green Mile,1.5M,8.6,1500000.0
